ID,Manchu,English
1,elhe taifin-i sohon bonio juwan uyuci aniya.,"the year of the Yellow Monkey, nineteenth year of Kangxi."
2,aniya biyai ice inenggi.,"On the first day of the first month,"
3,jiyanggiyun manggitu. hebei ambasa. geren janggisa. ba na i hafasa be gaifi.,"General Manggitu led the councilors, officers, and local officials."
4,guwangsi nan ning fui hoton i dung yoo miyoo i dolo tese isibufi doroloho.,"and gathered them at the Dongyue temple in the prefectural city of Nanning in Guangxi province, where they together performed a ritual ceremony."
5,ambasa juwe galai hafasa ishunde hengkilehe.,The high dignitaries and the officers of the two wings saluted each other by kowtowing.
6,aniyai ucuri jakun gusai janggin cooha gemu jeme omime.,On the occasion of the New Year all officers and soldiers of the Eight Banners drank and ate.
7,bayara uksin i beye giyade. hehe adali miyamifi.,"The bayara guards and the armored soldiers were in the streets, in women’s clothes and make-up."
8,doo yang ke ucun be uculeme efihe.,enjoying themselves singing the song doo yang ke.
9,mini dolo sakdasa be g_nime ali_aha.," In my heart, I felt sad thinking about [my] old folks."
10,juwe biyai orin sunja de.,"On the twenty-fifth of the second month,"
11,horon be badarambure amba jiyanggiyun.,Field Marshal of the Second Rank.
12,julergi be necihiyere wang _ang jy sin.,Prince Pacifier of the South Shang Zhi xin.
13,julergi be tuwakiyara jiyanggiy_n manggitu.,Protector of the South General Manggitu.
14,giyangning ni jergi babe tuwakiyara jiyanggiy_n ecu.,Protector of Jiangning and other places General Ecu.
15,hebei amban gusai ejen lebei. hife.,Councilors and Lieutenant-generals Lebei and Hife.
16,meiren i janggin ehene se yun nan be gaime dosire jalin hebe acafi. tuweri dosimbi seme toktoho.,"Major-general Ehene met in council to discuss strategies of how to enter and take Yunnan, then decided to launch the expedition in winter."
17,bi morin be ulebume maikan enggemu.ag_ra hajun be dasataha.,"I fed the horses and prepared my tent, saddle, and weapons."
18,ilan biyai ice ilan de.dergici wasimbuha _ang cuwan de.,On the third day of the third month an imperial edict was issued.
19,sycuwan-i golo be baha be dahame.,After Sichuan province has been secured.
20,kemungge wang-ni cooha be.guwangsi-i golo hoton gui lin fude emu nirui emte be werifi,"out of all the troops of the Frugal Prince, each niru must leave one soldier in the city of Guilin of the Guangxi province."
21,wang-ni beye cooha be gaifi. lio jeo fu be tuwakiyakini.,The Prince himself will then lead his troops to protect the city of Liuzhou.
22,anda wang _ang jy sin ini harangga cooha be gaifi. gui hiyan be tuwakiyakini.,"The anda Prince Shang Zhi xin, heading the troops under his command, must defend Gui county."
23,juwe guwang-ni dzungdu gin guwang dzu. jurgan be dahaha be ma ciyang yin sei cooha be . jiyangiy_n manggitu gaifi . y_n nan be gaime dosikini sehebi.,"General Manggitu, leading the troops of Lieutenant-general Liu Yanming and those subordinated to the governor-general of the two Guang Provinces. Jin Guangzu, the Count Follower of Justice Ma Chengyin, shall enter and conquer Yunnan."
24,mini gamara yaya jaka be gemu dasataha.,I prepared all the provisions to take with me.
25,ice sunja de.,"On the fifth,"
26,"dosire inenggi hanci oho,ag_ra hajun be sadata seme selgiyehe.","as we approached the day of departure,  we were ordered to prepare the weapons."
27,ice ninggun de.,"On the sixth,"
28,ganduhai buyarame janggisa morin-i ton be ciralame baicaha.,Ganduhai and his lower officers thoroughly checked the number of the horses.
29,bin jeo-i jy jeo hafan ma ciyang yen be uba_aha seme nurhume boolanjiha.,The Department Magistrate of the Binzhou district reported repeatedly that Ma Chengyin had rebelled.
30,juwan ilan de.,"On the thirteenth,"
