ID,Manchu,English,Source,Comment
1,elhe taifin-i sohon bonio juwan uyuci aniya.,"the year of the Yellow Monkey, nineteenth year of Kangxi.",The Diary of a Manchu Soldier in Seventeenth-Century China,Manchu written in romanised transliteration system emloyed by Paul Georg von Möllendorff
2,aniya biyai ice inenggi.,"On the first day of the first month,",,
3,jiyanggiyun manggitu. hebei ambasa. geren janggisa. ba na i hafasa be gaifi.,"General Manggitu led the councilors, officers, and local officials.",,
4,guwangsi nan ning fui hoton i dung yoo miyoo i dolo tese isibufi doroloho.,"and gathered them at the Dongyue temple in the prefectural city of Nanning in Guangxi province, where they together performed a ritual ceremony.",,
5,ambasa juwe galai hafasa ishunde hengkilehe.,The high dignitaries and the officers of the two wings saluted each other by kowtowing.,,
6,aniyai ucuri jakun gusai janggin cooha gemu jeme omime.,On the occasion of the New Year all officers and soldiers of the Eight Banners drank and ate.,,
7,bayara uksin i beye giyade. hehe adali miyamifi.,"The bayara guards and the armored soldiers were in the streets, in women’s clothes and make-up.",,
8,doo yang ke ucun be uculeme efihe.,enjoying themselves singing the song doo yang ke.,,change ba to be (miswritten in the original manchu diary)
9,mini dolo sakdasa be gūnime ališaha.," In my heart, I felt sad thinking about [my] old folks.",,
10,juwe biyai orin sunja de.,"On the twenty-fifth of the second month,",,
11,horon be badarambure amba jiyanggiyun.,Field Marshal of the Second Rank.,,
12,julergi be necihiyere wang šang jy sin.,Prince Pacifier of the South Shang Zhi xin.,,
13,julergi be tuwakiyara jiyanggiyūn manggitu.,Protector of the South General Manggitu.,,
14,giyangning ni jergi babe tuwakiyara jiyanggiyūn ecu.,Protector of Jiangning and other places General Ecu.,,
15,hebei amban gusai ejen lebei. hife.,Councilors and Lieutenant-generals Lebei and Hife.,,
16,meiren i janggin ehene se yun nan be gaime dosire jalin hebe acafi. tuweri dosimbi seme toktoho.,"Major-general Ehene met in council to discuss strategies of how to enter and take Yunnan, then decided to launch the expedition in winter.",,
17,bi morin be ulebume maikan enggemu.agūra hajun be dasataha.,"I fed the horses and prepared my tent, saddle, and weapons.",,
18,ilan biyai ice ilan de.dergici wasimbuha šang cuwan de.,On the third day of the third month an imperial edict was issued.,,
19,sycuwan-i golo be baha be dahame.,After Sichuan province has been secured.,,
20,kemungge wang-ni cooha be.guwangsi-i golo hoton gui lin fude emu nirui emte be werifi,"out of all the troops of the Frugal Prince, each niru must leave one soldier in the city of Guilin of the Guangxi province.",,
21,wang-ni beye cooha be gaifi. lio jeo fu be tuwakiyakini.,The Prince himself will then lead his troops to protect the city of Liuzhou.,,
22,anda wang šang jy sin ini harangga cooha be gaifi. gui hiyan be tuwakiyakini.,"The anda Prince Shang Zhi xin, heading the troops under his command, must defend Gui county.",,
23,juwe guwang-ni dzungdu gin guwang dzu. jurgan be dahaha be ma ciyang yin sei cooha be . jiyangiyūn manggitu gaifi . yūn nan be gaime dosikini sehebi.,"General Manggitu, leading the troops of Lieutenant-general Liu Yanming and those subordinated to the governor-general of the two Guang Provinces. Jin Guangzu, the Count Follower of Justice Ma Chengyin, shall enter and conquer Yunnan.",,
24,mini gamara yaya jaka be gemu dasataha.,I prepared all the provisions to take with me.,,
25,ice sunja de.,"On the fifth,",,
26,"dosire inenggi hanci oho,agūra hajun be sadata seme selgiyehe.","as we approached the day of departure,  we were ordered to prepare the weapons.",,
27,ice ninggun de.,"On the sixth,",,
28,ganduhai buyarame janggisa morin-i ton be ciralame baicaha.,Ganduhai and his lower officers thoroughly checked the number of the horses.,,
29,bin jeo-i jy jeo hafan ma ciyang yen be ubašaha seme nurhume boolanjiha.,The Department Magistrate of the Binzhou district reported repeatedly that Ma Chengyin had rebelled.,,
30,juwan ilan de.,"On the thirteenth,",,
31, jiyangiyūn manggitu gūsai ejen hife. tui janggin ehene de emu nirui ilata bayara dahame dailara sunja ing-ni sunja minggan niowanggiyan tu cooha be bufi.,"General Manggitu gave Lieutenant-general Hife and Major-general of the Guards Ehene three bayara guards from each niru, along with 5,000 Green Standard troops from the five expeditionary battalions.",,
32,neneme ubašaha hūlha ma ciyang yen be dailame bin jeo baru jurambuha.,bidding them to leave for Binzhou to fight against the rebellious bandit Ma Chengyin.,,
33,tere inenggi mini jakūn morin hūlhabufi.,This same day eight horses of mine were stolen.,,
34,mini dolo ališame.,I felt sad and distraught.,,
35,jiyangiyūn de alara jakade. jianggiyun sunja ing-ni hafasa. irgen de selgiyefi baicabuha. naranggi baha akū,"When I reported the theft to the general, he informed the officers and commoners of the five battalions to investigate, but in the end I did not get [the horses] back",,Changed the sentence to fit the manchu sentence format
36,juwan ninggude,On the sixteenth ,,
37,jiyangiyūn ecu. cooha gaifi yung šun hiyan ci cuwan tefi. nan ning de jihe. ,"General Ecu, at the head of his troops, came by boat from Yongchun county to Nanning.",,
38,orin de yung šun-i coohai morisa isinjiha,The military horses of Yongchun arrived on the twentieth.,,
39,jiyangiyūn gisun morin akū uksin sade yung šun-i alban-i morin be tatame gaifi bu seme tatarade lak seme burakū ofi. genere kūwaran da be uhuken seme dangsifi .,The general ordered that the government horses [that arrived] from Yongchun be requisitioned and given to the armored soldiers who had no horses. Because at the time of the requisition [the soldiers] were unwilling to give up [the horses] [the general] reprimanded the camp commanders in charge saying that they were weak.,,
40,jiyanggiyūn manggitu. tuwakiyara kūwaran-i da janggisa be gajifi . morin be burakūngge adarame . emke hono faššame yabuki serakū jileršembi. te uthai alban-i morin be bu seme.,General Manggitu summoned the officers and camp commanders on duty and told them: “Why are the horses not being handed over? You are ignoring [my order]. And refusing to make even a single effort! You must give up the government horses immediately.”,,change the abbr. mang to manggitu
41,morin be tatame gaifi.genere cooha de icihiyame buhe.,Then the horses were requisitioned and allocated in an appropriate manner to the departing soldiers.,,
42,orin sunja de,On the twenty-fifth,,
43,bi. jiyangiyūn mang. gūsai ejen lebei. hife sebe dahame. emu nirui duite ton-i cooha be gaifi. nan ning fuci. lio jeo baru jurafi yabume. jin ceng sy be dulefi . gun luwan guwan be tucifi .,"I followed General Manggitu, Lieutenant-generals Lebei and Hife, who were leading a force made of four soldiers from each company. From the city of Nanning we set out towards the prefectural city of Liuzhou, passed Jinchengzhai, and crossed the Kunlun Pass.",,
44,sunja inenggi emu tanggū nadanju babe yabufi. gūsin de bin jeo de isinafi.,"Covering 170 li in five days, on the thirtieth we reached Binzhou. ",,
45,neneme genehe bayara be acafi. aliha cooha be acabufi emu meyen obuha.,"We caught up with the bayara troops that had set off earlier and, joining the Manchu-Mongol cavalry, we formed a squadron.",,
46,duin biyai ice de. ,"On the first day of the fourth month,",,
47,mini jalan-i booju nirui hoošan-i kutule. ,"the servants of Hoošan of the Booju company of my regiment, ",,
48,gūwa-i waha irgen-i ihan-i yali be dendefi gajirede. jiyangiyūn-i gocika uksin de nambufi.,brought and shared the meat of a cow belonging to common people that had been killed by others. They were apprehended by the armored soldiers of general's personal guard. ,,common people - civilian?
49,jiyanggiyun. mimbe. kūwaran-i da be gamafi. ,"The general summoned me and the camp commanders,",,
50,cacari de tebufi.,made us sit in [his] tent. ,,
51,sain gisun-i necihiyere de. be yertehe.,"He comforted us with good words, but we felt ashamed.",,
52,weile gisurefi. ganduhai ilan biyai funglu. mimbe. arahai janggin dandai be ninggun biyai funglu faitame. ,"After the crime was adjudicated, Ganduhai was sentenced three months of salary, I and the assistant adjutant Dandai to a fine of six months of salary,",,Corrected mimne to the right spelling mimbe based on the orginal diary
53,bošokū be nadanju. kutule-i ejen hoošan be jakūnju. kutule be tanggū tantaha.,"the corporal to seventy cane strokes, the slave master Hoošan to eighty, and the servants to a 100.",,
54,uheri coohai jetere bele lakcafi. ,"after the food supplies for the whole army had been used up,",,
55,ice duide,"On the fourth, ",,
56,jiyangiyūn ing gurime. bin jeo ci tofohon bai dubede genefi ing ilifi. teisu teisu gašan de bele baisu. handu be niohu seme selgiyehe.,"the general gave the order to move camp, to set up a new camp at a distance of 15 li from Binzhou, to search for rice in every single village, and to pound the unhusked rice. ",,
57,bi booi juse be gašan de unggifi. eye feteme handu baifi gajifi. ,"I sent the family boy-servants to the village. Digging up pits they found the unhusked rice, and brought it [to me]. ",,Corrected fatame to the right spelling feteme based on the origin
58,na be sangga arafi bele niohuhe.,"Then they dug holes into the ground, and pounded the rice.",,
59,ice ninggude,On the sixth,,
60,bin jeo-i bira be fukiyoo ca seme. niowanggiyan tu de afabuha.,ordered the Green Standard troops to build a pontoon bridge across the river at Binzhou.,,Deleted added subject [General Manggitu] to align with the origin
61,ice jakūn de,On the eighth ,,
62,jurgan ci unggihe bithede. ubašaha hūlha ma ciyang yen be kemungge wang. anda wang šang jy sin ni emgi acafi dailakini. jiyangiyūn manggitu si yūn nan be dailame dosika akū babe hudun boola sehebi. ,"a document arrived from the Ministry, which said: “The Frugal Prince and the Anda Prince Shang Zhixin must join and subdue the rebellious bandit Ma Chengyin after having joined. You, General Manggitu, must report at once about the reason why you have not yet attacked and invaded Yunnan.” ",,Deleted added translation [their forces]. Corrected spelling mistake [mannitu - manggitu] based on the origin
63,geli fugiyan-i goloi hai cing hiyan. gin men. hiya men-i jergi babe baha seme donjiha.,"We heard that the localities of Haicheng county, Jinmen and Xiamen in the province of Fujian had also been taken.",,
64,juwan ilan de ,On the thirteenth,,
65,geli yūn nan be gaime dosi seme hacihiyara bithe isinjiha.,an urgent dispatch arrived ordering us to proceed with the occupation of Yunnan.,,
66,juwan ninggude,On the sixteenth,,
67,cooha kutule be irgen be nungnembi seme. gemu karun ci ume tucibure seme fafun-i bithe selgiyehe.,"because the troops and servants were harming the civilian population, a legal decree was issued to the effect that nobody was allowed to leave his post.",,
68,juwan uyūn de,On the nineteenth,,
69,bin jeo-i bira be doofi. tofohon ba yabufi. ma moo san-i ebele too deng sere babe ing iliha.,"crossed the river, marched for 15 li, and set up camp in a place called Taodeng on the near side of the Shamao Mountain.",,
70,bi orhoi tatan araha.,I made a grass shelter.,,
71,anda wang-ni yabubuha bithede. ,A dispatch sent by the Anda Prince read:,,
72,dzungdu gin mukei cooha be gaifi. juwan ilan de cuwan be jurambi.,Governor-general Jin [Guangzu] shall take the marines and set out by boat on the thirteenth. ,,
73,mini beye. tidu jelken-i emgi cooha be gaifi. tofohon de olhon be jurambi.,"I myself, together with Provincial Commander-in-Chief Jelken, will proceed with our troops by land on the fifteenth.",,
74,lai bin hiyan be wesihun jiyangiyūn gaisu . ,Honorable General shall take Laibin county ,,Deleted added translation [Manggitu] [You] to align with the Manchu context
75,bi u siowan hiyan be gaifi. dere acafi hebdeki. eici kemungge cin wang be aliyafi lio jeo fu be gaire. eici musei cooha uthai lio jeo fu be gaire babe ebešeki sehebi:,"after I take Wuxuan county, we shall meet in person to deliberate whether, we should wait for the Frugal Prince of the Blood before we seize the prefectural city of Liuzhou, or whether our troops should immediately [proceed to] take Liuzhou Fu.",,
76,yun gui-i dzungdu baturu bodohonggo jiyangiyūn joo liyang dung-ni wesimbuhengge. fudaraka hūlha u san gui.u guwe gui bucehe:funcehe u ing ki.u ši fan.hu guwe ju.ma boo se gemu silhi meijehebi. muten akū urse. ere sucuwan be baha ucuri. duin jugun-i sasa yun gui be gaime dosici.emgeride toktobuci ombi seme narhūšame wesimbuhe seme donjiha.,"I heard that the Governor-general of Yunnan and Guizhou Heroic Strategist General Zhao Liangdong had secretly memorialized [as follows]:
The rebellious bandits Wu Sangui and Wu Guogui have died. The remaining Wu Yingqi, Wu Shifan, Hu Guozhu, Ma Bao, and others have lost their nerve. They are incompetent people. This is the time to take Sichuan. If we proceed to take Yunnan and Guizhou with a syn- chronized attack from four routes, it is possible to suppress the rebellion in one stroke.",,
77,orin ilan de ,On the twenty-third,,
78,lai bin-i baru ibembi seme gisurefi nakaha.,the consultation ended with a decision to advance towards Laibin.,,
79,emu biyai jetere bele niohu seme selgiyehe.,issued an order to pound enough rice for one month. ,,
80,bi eye fetebume handu baifi. bele niohuhe.,"I ordered people to dig a storage pit, take the unhusked rice, and pound it to get husked rice.",,Corrected Manchu spelling by to bi based on the origin
81,orin jakūn de,On the twenty-eighth,,
82,hūlha-i mejige be gaime. cooha unggirede. bi genehe bihe.,"some soldiers were sent to gather information about the rebels. I went, too.",,
83,orin uyūn de mini beye fudame nimehe.,On the twenty-ninth I became sick and vomited.,,
84,sunja biyai ice sunja de,On the fifth of the fifth month ,,
85,elhe cin wang-ni beye cooha gaifi. beging-ni baru bederehe seme donjifi. bi elhe wang be dahame tucifi. elemangga bahafi bedererakū seme gusucehe.,"I heard that the Peaceful Prince of the Blood was taking in person his troops back to Beijing. I left to follow the Peaceful Prince, but I did not manage to be sent back with him. I felt demoralized.",,
86,ice nadan de,On the seventh,,Correct Manchu spelling based on modern orthography
87,yūn nan ci jihe hūlha fan ci han. jan yang-ni cooha. ma ciyang yen-i cooha lai bin-i bira be doofi. da ši kiyoo de iliha seme donjifi. ,"I heard that the soldiers of the rebels Fan Qihan and Zhan Yang who had come from Yunnan, and the soldiers of Ma Chengyin, after crossing the river at Laibin, camped at Dashiqiao.",,
88,jiyangiyūn manggitu geren de selgiyefi ing be akdulara de. ,Thereupon by General Manggitu issued a universal order to fortify every encampment. ,,change the abbr. mang to manggitu
89,mini beye cooha be kadalame dobori dulime keremu ulan weilehe.,I was put personally in charge of the troops to construct during the night shift a camp wall and a moat. ,,
90,coohai urse gasaha.,All the soldiers complained.,,
91,juwan ilan de hūlha ibeme jifi. bakcilame sunja bai dubede. alin be gaime ing iliha.,"On the thirteenth the rebels advanced, and facing us at a distance of 5 li, they occupied the mountain top and set up camp there.",,
92,jiyanggiyun. niowanggiyan tu be musei cooha de kamcibume keremu tuwakiyabuha.,The general ordered the Green Standard forces to combine with our troops and guard the camp wall.,,
93,mini beye dobori inenggi akū uksilehei jucelehe.,I wore my armor night and day and stood guard.,,
94,tofohon de,On the fifteenth,,
95,ubašaha hūlha ma ciyang yen-i fejergi holo jiyangiyūn ma ciyang liyei. r'ao i lung. yūn nan ci jihe hūlha-i holo jiyangiyūn fan ci han. jan yang uheri tumen funcere hūlha be gaifi. ing be afanjime hanci latunjifi. ,"the false generals Ma Chenglie and Rao Yilong, subordinate to the rebel bandit Ma Chengyin, together with the false generals Fan Qihan and Zhan Yang, who had come from Yunnan, jointly leading over 10,000 rebels, advanced forward, pressing on to attack [our] camp. ",,
96,too deng-ni bade hiyahan kalka miyoocan sufan duin be faidafi ambarame jehe be. jiyangiyūn manggitu ing toome emu janggin. juwan uksin be werifi. uheri amba cooha be gaifi tucifi.,"In the locality of Taodeng, they arranged in good order their chevaux-de-frise, shields, muskets, and elephants in four rows, and came forward in an imposing manner. General Manggitu, leaving in each encampment one officer and ten armored soldiers, came out at the head of the whole army. ",,
97,cin-i dere de hife. masitai be jai meyen-i cooha be gaifi faida. ,He ordered Hife and Masitai to take position in front with the troops of the second squadron. ,,
98,ici ergi šakšaha de ehene uju meyen-i cooha be gaifi faida.,Then he ordered Ehene to take position on the right flank at the head of the soldiers of the first squadron.,,Correct Manchu spelling to šakšaha based on modern orthography
99,hashu ergi šakšaha de lebei šakšaha meyen-i cooha be gaifi faida seme afabufi.,He also ordered Lebei to deploy on the left flank with the troops of the wing column.,,Correct Manchu spelling to šakšaha based on modern orthography
100,niowanggiyan tu be juleri sindafi.,He lined up the Green Standard troops in front. ,,
101,ibeme poo sindame. ,moved forward firing cannon. ,,
102,hūlha uthai fondolome latunjifi.,The rebels immediately rushed forward breaking through.,,Deleted added translation [our lines].
103,niowanggiyan tu alime muterakū aššame. ,The Green Standard troops were not able to hold [them] and vacillated.,,
104,gulu suwayan gulu fulgiyan juwe hontoho fakcame angga arame ba buhe.,"The Plain Yellow and the Plain Red [Banners] broke into two halves, creating an opening.",,
105,hūlha bireme emu dalgan-i fondolofi. baksalafi bedererede.,As the rebels penetrated in one whole group [we] split into small groups and withdrew. ,,
106,tuwaci jebele galai baru siribume kubuhe lamun. hūlhai hiyahan-i hanci ilinaha. ,"One could see that as our western flank was being pressed on, the Bordered Blue [Banner] was being pushed up against the rebels’ chevaux-de-frise.",,
107,hūlhai piciyang turi tashara adali sindambi.,The rebels’ musket fire sounded like frying beans.,,
108,tuwaci uju meyen-i cooha sufan be birebufi. ,"Following that, the soldiers of the first column were attacked by the elephants. ",,
109,kubuhe suwayan-i bayara janggin walda tu. aliha cooha-i funde bošokū ulehi-i tu gaibuha.,"The flags of Major-general of the Guards Walda of the Yellow Banner, and of Lieutenant Ulehi of the Manchu-Mongol cavalry were captured.",,
110,sufan halgime jai meyen-i cooha de nikenjihe be. meni geren-i gabtara de. sirdan sengge bula-i adali.,"As the elephants closed in on the encircled soldiers of the second column, the arrows shot by all of my men looked like the quills of a porcupine.",,Correct Manchu spelling gabdara to gabtara based on modern orthography
111,sufan de hadara jakade. sufan burulame alin-i baru genehe. mini dolo faijuma seme gūnime tuksitehe.,The elephants fled towards the hills [but] I was greatly alarmed and had a strange feeling. ,,Correct Manchu spelling faijeme to faijuma based on modern orthography
112,hūlha necin baci ikume. alin-i luku bujan de kurelefi.,The rebels withdrew from the plain and split into groups in the thick forest of the mountain. ,,Correct Manchu spelling kurlefi to kurelefi based on modern orthography
113,yamjitala bakcilame hiyahan faidafi bihe.,"As evening fell, they lined up chevaux-de-frise facing opposite.",,
114,musei cooha inu afahakū. ,Our soldiers also did not attack ,,
115,ing de bederefi. ,returned to the encampment,,
116,keremu be akdulame tuwakiyaha.,protected by strengthening the ramparts.,,
117,juwan ninggun-i yamji,On the evening of the sixteenth ,,
118,jiyangiyūn manggitu-ni beye juwe tanggū siliha cooha be gaifi.hūlhai hanci genefi.,General Manggitu personally rode out at the head of 200 select troops.,,
119,ergide kaicame. cargide burdeme hūlha be burgibuha.,"As they drew closer to the bandits, they frightened them yelling here and blowing the conch there.",,
